feature,importance
MACD,0.037975862853200405
MACD_Signal,0.03643103062308534
MACD_Hist,0.011056049136497452
Stochastic_K,0.0058375343792640595
Stochastic_D,0.003419803713951146
Bollinger_%b,0.003354626019246351
EMA_20,0.0024385739906177626
RSI,0.0014354088001361847
return,0.0008092633188710017
Bollinger_High,0.0006650909401775681
SMA_20,0.0006582996539866145
Bollinger_Low,0.0006472706435731489
Bollinger_Width,0.0004918152263439256
return_lag_2,0.00046531742130491514
SMA_50,0.00041719606794742004
SMA_200,0.00040429800356870917
ADX,0.00034191088552898197
return_lag_1,0.00019494645407579797
return_lag_5,0.00013634629562156114
