feature,importance
SMA_50,0.028445373807979117
EMA_20,0.012823749489230558
MACD_Signal,0.007758319127301047
Stochastic_D,0.0058657556068770185
Bollinger_High,0.005293287329116975
SMA_20,0.005212090939121962
Bollinger_Low,0.005076937666722938
Stochastic_K,0.004669929871381004
MACD,0.003948490700330151
Bollinger_%b,0.0033046652985227057
MACD_Hist,0.002347652875794471
SMA_200,0.0017653025008464004
RSI,0.001744346345447837
return,0.0007842006898266672
Bollinger_Width,0.0007466604076580258
return_lag_2,0.0007313902811039525
ADX,0.00035395324230350165
return_lag_5,2.628826477815908e-05
return_lag_1,1.753532456323415e-05
