feature,importance
Stochastic_K,0.28799354830003004
SMA_50,0.16553678757002394
return_lag_2,0.08296878581063752
EMA_20,0.051669109920971144
Bollinger_%b,0.045504367588630565
return,0.04184407280568802
return_lag_5,0.0407009495436384
Stochastic_D,0.03646878203290659
Bollinger_High,0.03275649185658046
return_lag_1,0.02988997692218843
MACD_Hist,0.028927020079235363
Bollinger_Low,0.025092349957608905
SMA_20,0.024347923218937115
MACD,0.02322050586141791
RSI,0.021231309128243826
MACD_Signal,0.016695746340042526
ADX,0.016220672410904188
Bollinger_Width,0.014715597481639137
SMA_200,0.014216003170675921
