feature,importance
Stochastic_K,0.1336206839033426
return_lag_2,0.13059988336738482
RSI,0.10579253586963398
MACD,0.0720854590351071
MACD_Hist,0.06075626905523534
return_lag_1,0.05791439621174732
MACD_Signal,0.05342727124359222
return,0.05211589284021289
Bollinger_%b,0.051883659037957885
Stochastic_D,0.04490335104880766
Bollinger_Width,0.03989949217941395
return_lag_5,0.0368473638517665
Bollinger_High,0.0289380997030423
EMA_20,0.025618835675721097
ADX,0.025210207561335338
Bollinger_Low,0.024473510296150594
SMA_50,0.02006595775019479
SMA_20,0.019197278086978405
SMA_200,0.01664985328237518
