feature,importance
Stochastic_D,0.004481903551476664
Stochastic_K,0.003668037057505208
SMA_50,0.003548130172343797
Bollinger_%b,0.003145807666615075
MACD,0.0023807847981557576
MACD_Signal,0.0017639803183947063
SMA_200,0.001763226301878929
MACD_Hist,0.0015538377475999524
RSI,0.0015261756458453668
Bollinger_Low,0.0010631823003425325
SMA_20,0.001030274775830913
Bollinger_High,0.0009820616045829705
return_lag_2,0.000920565998834408
Bollinger_Width,0.0006844756907805187
return_lag_1,0.0003461595981309187
return,0.0003188347634371085
return_lag_5,0.00016823896207842574
ADX,0.000159136252719574
EMA_20,3.1280583876184074e-05
